id,chunk_type,content,caption,section,subsection,screenshot_path,embedding,page_number
26f7333b-8a96-487a-b5ee-1f389cc78a7f,text,"Bachelor of Technology in Computer Science Engineering, Indore Institute of Science and Technology, Indore 2022 – 2026",,EDUCATION,,,"[-0.0588654950261116, 0.00563570111989975, 0.04651852697134018, -0.03838452696800232, -0.06400320678949356, -0.050822339951992035, -0.030492087826132774, 0.036857254803180695, -0.08081544935703278, -0.008560656569898129, -0.02932579629123211, -0.11562324315309525, 0.05711967498064041, -0.026571691036224365, -0.019714687019586563, -0.018107090145349503, -0.029268482699990273, -0.13662981986999512, 0.07210981845855713, -0.09366493672132492, 0.0802961066365242, 0.07559901475906372, 0.047028910368680954, -0.08135955035686493, -0.04194662347435951, 0.009933319874107838, 0.07100662589073181, -0.0509178601205349, -0.03708571568131447, -0.021864712238311768, 0.033745575696229935, 0.0935763418674469, 0.011325125582516193, 0.10320956259965897, -0.021576067432761192, 0.021757345646619797, 0.04102585092186928, -0.07246208190917969, 0.09063079953193665, -0.08149503171443939, -0.06792481243610382, -0.05384816229343414, -0.05590477213263512, 0.0049364943988621235, 0.11151692271232605, 0.03722720965743065, -0.04755353927612305, -0.09483923763036728, 0.024599183350801468, -0.011801667511463165, -0.10113580524921417, -0.0530264638364315, -0.0113367335870862, -0.004790394101291895, -0.030349280685186386, 0.012527400627732277, 0.10526545345783234, 0.007701462600380182, -0.032874222844839096, -0.014553619548678398, 0.01862586848437786, -0.02810303494334221, -0.04376157745718956, 0.026652242988348007, 0.03672848641872406, -0.04612366110086441, -0.003983841277658939, 0.05127332732081413, 0.024425027891993523, 0.023961178958415985, -0.02660553529858589, 0.008751315996050835, -0.032332684844732285, 0.030384637415409088, 0.02306543104350567, -0.00887826457619667, -0.0349484346807003, 0.03497956693172455, 0.07401081919670105, -0.06969918310642242, 0.011942405253648758, -0.015891408547759056, -0.03603913635015488, 0.008694952353835106, -0.08730344474315643, -0.009260145016014576, -0.0003922565374523401, -0.018549710512161255, -0.005907219834625721, -0.045432571321725845, 0.07335097342729568, -0.03016197867691517, 0.013469558209180832, 0.057479389011859894, -0.0380665548145771, -0.020034706220030785, -0.03048359975218773, -0.05890084058046341, 0.04109051078557968, 0.02592148445546627, -0.04271749034523964, 0.018579846248030663, -0.026992902159690857, -0.03218577057123184, -0.16623538732528687, -0.01677808351814747, 0.029004570096731186, 0.057395026087760925, 0.048459529876708984, -0.029393872246146202, -0.04906301572918892, 0.018015535548329353, -0.040603797882795334, -0.007405810058116913, -0.028403939679265022, 0.051258061081171036, 0.025717230513691902, 0.07726459950208664, 0.07356685400009155, 0.02414122223854065, 0.005809154361486435, 0.030719079077243805, -0.06606221944093704, 0.03391929343342781, -0.05288225784897804, -0.14659279584884644, -0.08943893015384674, 1.6087269264151687e-34, 0.01931472308933735, 0.02276632934808731, -0.002915485529229045, 0.054982613772153854, -0.017408190295100212, -0.0038923975080251694, -0.013807524926960468, 0.03994118794798851, 0.0025832047685980797, -0.06397237628698349, -0.018986785784363747, -0.026321684941649437, -0.034230999648571014, 0.02008577063679695, 0.10441379249095917, -0.024421967566013336, -0.03712323680520058, 0.09064160287380219, 0.056814614683389664, 0.005985705181956291, -0.02816116437315941, -0.04222762584686279, 0.03505438566207886, -0.03908826783299446, 0.07261931896209717, 0.06290578842163086, 0.03886839374899864, -0.0042566838674247265, 0.03839809447526932, 0.015681248158216476, 0.07267673313617706, 0.04315580055117607, -0.07080332189798355, -0.04840601235628128, 0.0037939418107271194, -0.005224935244768858, -0.009627295657992363, -0.0481826551258564, -0.00973401591181755, 0.019599363207817078, -0.0131906159222126, 0.09616250544786453, 0.03893987089395523, -0.026438800618052483, -0.011315770447254181, -0.050440073013305664, 0.0686301738023758, 0.07649387419223785, 0.10409610718488693, 0.05675456300377846, -0.084270179271698, -0.05036381632089615, 0.030022725462913513, -0.07317005097866058, 0.06704659759998322, 0.016510924324393272, 0.04246608167886734, 0.006407598499208689, 0.0076941861771047115, 0.03827179595828056, -0.008568530902266502, 0.025768157094717026, -0.04617823660373688, -0.07277020066976547, -0.08048255741596222, -0.015492464415729046, 0.00733103696256876, -0.025151632726192474, 0.08775322884321213, 0.0014155569951981306, -0.05777695029973984, -0.007235710509121418, 0.005679006688296795, 0.04570377618074417, -0.0674511194229126, 0.014773027040064335, -0.005236679222434759, -0.051516760140657425, -0.04743950441479683, 0.05925889313220978, -0.09458393603563309, 0.06530106067657471, 0.019164571538567543, -0.05709047615528107, 0.09948026388883591, 0.013853239826858044, 0.02591979317367077, -0.017910707741975784, -0.014777601696550846, -0.0048689041286706924, 0.04666935279965401, -0.06935407966375351, -0.035620491951704025, 0.09994053840637207, 0.024005036801099777, -3.546761432044501e-33, -0.013230899348855019, 0.057786501944065094, -0.10990023612976074, 0.02606946974992752, 0.026797356083989143, 0.004467961844056845, 0.03807201236486435, 0.038782667368650436, 0.028134116902947426, 0.02544020116329193, 0.0029378377366811037, 0.03296095132827759, 0.0853656753897667, 0.040119580924510956, 0.0027437161188572645, -0.04564136266708374, -0.026821691542863846, -0.034284960478544235, -0.13497143983840942, 0.05788850784301758, -0.05119600147008896, 0.057167455554008484, -0.0071408613584935665, -0.020788399502635002, 0.07078466564416885, 0.0234539657831192, -0.029795829206705093, 0.035902250558137894, 0.006558805238455534, 0.008176608011126518, 0.03536839038133621, -0.09131574630737305, -0.1248476430773735, 0.11045915633440018, 0.044835589826107025, -0.07705846428871155, 0.07228565216064453, -0.05635896325111389, 0.04221577197313309, 0.04516228288412094, 0.09381990134716034, 0.06754621863365173, -0.043431852012872696, 0.02381916530430317, 0.004119228571653366, -0.05415871739387512, 0.08647632598876953, 0.0501871295273304, 0.029256455600261688, -0.040061868727207184, 0.036665286868810654, -0.03232661262154579, 0.09522508084774017, -0.062184810638427734, 0.09569728374481201, 0.042817797511816025, -0.003796227276325226, 0.01827649213373661, 0.01768190786242485, -0.05227707326412201, 0.06681259721517563, 0.004358431790024042, 0.058845553547143936, 0.014783442951738834, -0.05160361900925636, -0.03314124792814255, 0.00030066832550801337, 0.09085088968276978, -0.0180190522223711, -0.0945388600230217, 0.02567647024989128, 0.027575049549341202, -0.009996139444410801, 0.01341532077640295, -0.08017928153276443, -0.05981012433767319, 0.008267981931567192, 0.04303528368473053, -0.013271501287817955, 0.021276555955410004, -0.008385220542550087, 0.1269330382347107, -0.06745249778032303, 0.0197315476834774, 0.0022703222930431366, 0.019176315516233444, 0.006957448087632656, -0.07201702147722244, 0.010603581555187702, -0.10728224366903305, -0.0901719406247139, 0.03495717793703079, 0.02280217967927456, 0.049311622977256775, -0.0414867028594017, -2.5255337376961506e-08, 0.007418562192469835, -0.08465247601270676, 0.002530674682930112, -0.0028420051094144583, 0.014625716023147106, 0.045127298682928085, -0.05209997668862343, -0.043193381279706955, -0.017688849940896034, -0.020662983879446983, -0.061614006757736206, -0.04262851923704147, -0.0118921659886837, 0.004064285662025213, 0.023767495527863503, 0.02579922042787075, 0.026281267404556274, 0.04292351379990578, -0.039423245936632156, -0.06804227828979492, 0.036019064486026764, -0.03276844322681427, 0.008083730936050415, 0.07336582988500595, -0.023850824683904648, 0.008369674906134605, 0.03337791562080383, -0.02450825273990631, 0.030647972598671913, -0.004522330593317747, -0.0687570795416832, -0.03551888465881348, -0.006837872322648764, -0.05513757839798927, 0.0468103401362896, 0.044246383011341095, 0.040634121745824814, 0.06390136480331421, 0.063380666077137, 0.035455528646707535, -0.042449526488780975, -0.09122730046510696, 0.01195126585662365, 0.07656441628932953, 0.09803520143032074, -0.009278558194637299, -0.0374576561152935, -0.039804279804229736, -0.021689685061573982, -0.00958157703280449, -0.07541946321725845, -0.0006346979062072933, -0.03556210920214653, 0.004182490520179272, -0.03345327451825142, 0.057783156633377075, -0.05507877841591835, -0.06923865526914597, -0.03803257271647453, 0.04367854818701744, 0.03417860344052315, -0.007533642463386059, -0.025603609159588814, 0.014141442254185677]",1
e9c776a7-96d8-41a1-94c4-93b673260cf4,text,"Programming: C++, Python, JavaScript, HTML, CSS, React •AI & ML: LangChain, LangGraph, OpenAI ,RAG, MCP, Fine-tuning, NLP •Databases: MongoDB, PostgreSQL •Tools: Git, VS Code, Postman, MongoDB Compass •Frameworks: Bootstrap, FastAPI, FastMCP English | Hindi",,TECHNICAL SKILLS,,,"[-0.0470242016017437, -0.029898952692747116, -0.007498729042708874, 0.04633226990699768, 0.010954128578305244, -0.08758032321929932, -0.01395468134433031, 0.05119447782635689, -0.12286131829023361, 0.002554305363446474, -0.08251935243606567, -0.012994873337447643, 0.00852285511791706, 0.00045387313002720475, 0.05402211844921112, 0.023305965587496758, -0.025841090828180313, -0.017101837322115898, 0.08578930050134659, -0.144677996635437, -0.030392436310648918, -0.014370073564350605, 0.05451288819313049, -0.0332743376493454, 0.02249584160745144, 0.017894435673952103, 0.005768763832747936, -0.04286135360598564, -0.003737097140401602, -0.05849965289235115, -0.04864518716931343, 0.044000908732414246, 0.04700794816017151, 0.05140300467610359, -0.06426297128200531, 0.11853031814098358, 0.05242690443992615, -0.09907177090644836, 0.02018963173031807, -0.03916670009493828, -0.10569021850824356, 0.0002456229995004833, -0.033517736941576004, -0.05955062806606293, 0.1415145993232727, -0.054113179445266724, -0.07654309272766113, -0.024923548102378845, -0.0017271090764552355, 0.01725478284060955, -0.10985637456178665, -0.08893341571092606, -0.03276808559894562, -0.015435914508998394, 0.0023479934316128492, 0.05472336336970329, 0.06709938496351242, -0.016748016700148582, 0.016354428604245186, -0.06293134391307831, -0.007582736201584339, -0.013625605963170528, -0.05282694101333618, 0.0634780079126358, -0.004341237246990204, -0.0005987238837406039, -0.045803871005773544, 0.10036344826221466, 0.034963272511959076, -0.0106691038236022, -0.051538705825805664, -0.004745949991047382, -0.03702588379383087, 0.08584298938512802, 0.018482578918337822, -0.07795307785272598, 0.011067185550928116, -0.06559766083955765, 0.014852054417133331, -0.03509724512696266, -0.03849579393863678, 0.021526554599404335, -0.07769649475812912, 0.04600872844457626, -0.009813269600272179, -0.0031537748873233795, 0.037007927894592285, 0.021403949707746506, 0.008229086175560951, 0.017382165417075157, 0.08681508898735046, -0.07225226610898972, 0.05616496503353119, 0.06656143814325333, -0.03134852275252342, 0.013967183418571949, 0.03471142426133156, -0.07067131251096725, -0.025869693607091904, 0.02290808968245983, -0.058080967515707016, -0.026729747653007507, 0.054185979068279266, -0.020070165395736694, -0.1221628412604332, 0.05194137617945671, 0.02893328294157982, 0.025699565187096596, 0.005909502971917391, 0.01956763304769993, -0.034910235553979874, 0.03634147718548775, -0.11084406822919846, -0.07155820727348328, 0.020718922838568687, 0.0710071548819542, 0.01946912705898285, -0.011726037599146366, 0.06616701185703278, 0.09796109050512314, -0.03427588567137718, 0.1074337586760521, -0.05419721454381943, -0.042522989213466644, 0.0036902702413499355, -0.03230733796954155, -0.0393039770424366, 9.234424643960725e-34, 0.07364839315414429, 0.010629843920469284, -0.0292124692350626, 0.03105204366147518, 0.06233616918325424, -0.03363955765962601, 0.040231186896562576, 0.03411906957626343, -0.10403244197368622, -0.013612250797450542, 0.07237160205841064, 0.10042453557252884, -0.0671321228146553, 0.08776690810918808, 0.08739547431468964, -0.07761716842651367, 0.012256265617907047, 0.03836403414607048, 0.05184059590101242, -0.022366974502801895, -0.027182213962078094, 0.03750637173652649, 0.004480103962123394, 0.04391772672533989, 0.07401023805141449, 0.10381466895341873, 0.026999952271580696, 0.002337553771212697, 0.019887518137693405, 0.026749975979328156, -0.026928994804620743, 0.03168262541294098, -0.0747092142701149, 0.0206842590123415, 0.03941347077488899, 0.004105135332792997, -0.061791498214006424, -0.09179013967514038, 0.04388964921236038, 0.047013454139232635, -0.07020686566829681, 0.03644297271966934, 0.02588573470711708, -0.03666127473115921, -0.009339375421404839, 0.005244116298854351, 0.047135353088378906, -0.0035319668240845203, 0.0845499262213707, 0.0509757474064827, -0.10516335070133209, -0.02885589376091957, 0.01977716200053692, 0.01621060259640217, 0.03708008676767349, 0.005296980496495962, 0.07211297005414963, -0.03191946819424629, -0.005644815042614937, 0.05765064060688019, 0.005831895396113396, 0.022618772462010384, -0.01202812884002924, -0.03889286890625954, -0.03438228368759155, 0.0012257928028702736, -0.04567587748169899, 0.02797180414199829, 0.11655808240175247, -0.002879154169932008, -0.06627467274665833, 0.03168636932969093, 0.04993613809347153, 0.06026916205883026, -0.0458078533411026, 0.03304138034582138, -0.01730864681303501, -0.06963758915662766, -0.004163670819252729, 0.0438307486474514, -0.03867213800549507, -0.052096784114837646, -0.020909558981657028, 0.004788139369338751, 0.05575329065322876, 0.034951433539390564, 0.022075677290558815, 0.02975640259683132, 0.0380917452275753, -0.05605684220790863, -0.02662280760705471, 0.019241174682974815, 0.03244206681847572, -0.02458018623292446, -0.017326530069112778, -3.984377407704499e-33, -0.020644458010792732, -0.0666334480047226, -0.07377609610557556, 0.09056360274553299, 0.010146073065698147, -0.009866778738796711, 0.02923496812582016, -0.016564542427659035, 0.04175589233636856, 0.009188094176352024, -0.007092449348419905, -0.03981884568929672, 0.04494282230734825, 0.047765057533979416, -0.025268595665693283, -0.016965854912996292, -0.09486237913370132, -0.06533563882112503, -0.028633277863264084, 0.06219247356057167, -0.03763635829091072, 0.03831259161233902, -0.041165970265865326, 0.01361739169806242, 0.07507359236478806, -0.05279763787984848, -0.1021304801106453, -0.08805422484874725, -0.027311554178595543, 0.04385664686560631, 0.02640441432595253, 0.0046628061681985855, -0.015330781228840351, 0.055295512080192566, -0.00012268197315279394, -0.0742965042591095, 0.028596293181180954, -0.004222506657242775, 0.05445839464664459, 0.09166163206100464, 0.12639358639717102, -0.015497865155339241, 0.026408245787024498, -0.032316990196704865, -0.06647048890590668, 0.0014958222163841128, -0.0916738286614418, 0.0584501288831234, -0.015530072152614594, -0.09301285445690155, -0.008286125026643276, -0.04613947123289108, 0.07804115861654282, -0.10491543263196945, 0.028565993532538414, -0.03841504082083702, 0.033525437116622925, -0.05316317826509476, 0.04168136417865753, -0.005760643631219864, -0.03407260403037071, 0.06058139353990555, 0.0677592009305954, 0.013440148904919624, -0.016469571739435196, -0.10116668790578842, -0.07679274678230286, 0.00428939051926136, -0.07328249514102936, -0.11582887172698975, -0.014070781879127026, 0.030063172802329063, 0.028146423399448395, -0.013914435170590878, -0.08667111396789551, -0.008713582530617714, -0.05724727362394333, 0.047038231045007706, 0.00022584378893952817, 0.038283899426460266, 0.08990350365638733, 0.03783721476793289, -0.012417015619575977, 0.017969995737075806, -0.042789753526449203, 0.06538965553045273, -0.010563072748482227, -0.013317784294486046, -0.01083146408200264, -0.05690065398812294, -0.09919561445713043, 0.09484690427780151, 0.026916472241282463, 0.07388961315155029, -0.08167409896850586, -4.5462080322522525e-08, -0.04695940390229225, -0.037360236048698425, -0.01704750955104828, -0.005891681183129549, 0.013539768755435944, 0.06856059283018112, -0.02621450461447239, -0.009083645418286324, -0.005612816195935011, 0.07673819363117218, -0.01883424073457718, 0.0321122407913208, -0.0617842897772789, -0.007710447534918785, 0.03584884852170944, -0.029838668182492256, 0.03709210082888603, 0.05474083125591278, 0.01796191744506359, -0.05557752773165703, 0.0701383724808693, 0.04585365578532219, -0.027652131393551826, 0.031527500599622726, -0.0022823764011263847, -5.447835792438127e-05, 0.024293404072523117, 0.020824529230594635, 0.048434801399707794, -0.0472756065428257, -0.008935441263020039, -0.0288122296333313, 0.026068948209285736, -0.05931701511144638, 0.07445605844259262, 0.037820104509592056, 0.033654019236564636, -0.027261365205049515, 0.0066452245227992535, 0.04524354264140129, -0.009570522233843803, 0.027026351541280746, 0.05446280911564827, -0.025079378858208656, -0.008477341383695602, 0.020806243643164635, -0.02770029567182064, -0.012848312966525555, -0.01299925334751606, -0.06882432103157043, -0.0662895143032074, -0.047662653028964996, -0.06236565113067627, 0.0011164803290739655, 0.07417003065347672, 0.10930553078651428, -0.02782261185348034, -0.1064467579126358, -0.010606987401843071, -0.0047720130532979965, 0.013951333239674568, -0.0022305112797766924, 0.015558567829430103, 0.053536053746938705]",1
d0f944eb-c04d-4029-8bcb-bff1f8885251,text,"Programming: C++, Python, JavaScript, HTML, CSS, React •AI & ML: LangChain, LangGraph, OpenAI ,RAG, MCP, Fine-tuning, NLP •Databases: MongoDB, PostgreSQL •Tools: Git, VS Code, Postman, MongoDB Compass •Frameworks: Bootstrap, FastAPI, FastMCP English | Hindi",,TECHNICAL SKILLS,,,"[-0.0470242016017437, -0.029898952692747116, -0.007498729042708874, 0.04633226990699768, 0.010954128578305244, -0.08758032321929932, -0.01395468134433031, 0.05119447782635689, -0.12286131829023361, 0.002554305363446474, -0.08251935243606567, -0.012994873337447643, 0.00852285511791706, 0.00045387313002720475, 0.05402211844921112, 0.023305965587496758, -0.025841090828180313, -0.017101837322115898, 0.08578930050134659, -0.144677996635437, -0.030392436310648918, -0.014370073564350605, 0.05451288819313049, -0.0332743376493454, 0.02249584160745144, 0.017894435673952103, 0.005768763832747936, -0.04286135360598564, -0.003737097140401602, -0.05849965289235115, -0.04864518716931343, 0.044000908732414246, 0.04700794816017151, 0.05140300467610359, -0.06426297128200531, 0.11853031814098358, 0.05242690443992615, -0.09907177090644836, 0.02018963173031807, -0.03916670009493828, -0.10569021850824356, 0.0002456229995004833, -0.033517736941576004, -0.05955062806606293, 0.1415145993232727, -0.054113179445266724, -0.07654309272766113, -0.024923548102378845, -0.0017271090764552355, 0.01725478284060955, -0.10985637456178665, -0.08893341571092606, -0.03276808559894562, -0.015435914508998394, 0.0023479934316128492, 0.05472336336970329, 0.06709938496351242, -0.016748016700148582, 0.016354428604245186, -0.06293134391307831, -0.007582736201584339, -0.013625605963170528, -0.05282694101333618, 0.0634780079126358, -0.004341237246990204, -0.0005987238837406039, -0.045803871005773544, 0.10036344826221466, 0.034963272511959076, -0.0106691038236022, -0.051538705825805664, -0.004745949991047382, -0.03702588379383087, 0.08584298938512802, 0.018482578918337822, -0.07795307785272598, 0.011067185550928116, -0.06559766083955765, 0.014852054417133331, -0.03509724512696266, -0.03849579393863678, 0.021526554599404335, -0.07769649475812912, 0.04600872844457626, -0.009813269600272179, -0.0031537748873233795, 0.037007927894592285, 0.021403949707746506, 0.008229086175560951, 0.017382165417075157, 0.08681508898735046, -0.07225226610898972, 0.05616496503353119, 0.06656143814325333, -0.03134852275252342, 0.013967183418571949, 0.03471142426133156, -0.07067131251096725, -0.025869693607091904, 0.02290808968245983, -0.058080967515707016, -0.026729747653007507, 0.054185979068279266, -0.020070165395736694, -0.1221628412604332, 0.05194137617945671, 0.02893328294157982, 0.025699565187096596, 0.005909502971917391, 0.01956763304769993, -0.034910235553979874, 0.03634147718548775, -0.11084406822919846, -0.07155820727348328, 0.020718922838568687, 0.0710071548819542, 0.01946912705898285, -0.011726037599146366, 0.06616701185703278, 0.09796109050512314, -0.03427588567137718, 0.1074337586760521, -0.05419721454381943, -0.042522989213466644, 0.0036902702413499355, -0.03230733796954155, -0.0393039770424366, 9.234424643960725e-34, 0.07364839315414429, 0.010629843920469284, -0.0292124692350626, 0.03105204366147518, 0.06233616918325424, -0.03363955765962601, 0.040231186896562576, 0.03411906957626343, -0.10403244197368622, -0.013612250797450542, 0.07237160205841064, 0.10042453557252884, -0.0671321228146553, 0.08776690810918808, 0.08739547431468964, -0.07761716842651367, 0.012256265617907047, 0.03836403414607048, 0.05184059590101242, -0.022366974502801895, -0.027182213962078094, 0.03750637173652649, 0.004480103962123394, 0.04391772672533989, 0.07401023805141449, 0.10381466895341873, 0.026999952271580696, 0.002337553771212697, 0.019887518137693405, 0.026749975979328156, -0.026928994804620743, 0.03168262541294098, -0.0747092142701149, 0.0206842590123415, 0.03941347077488899, 0.004105135332792997, -0.061791498214006424, -0.09179013967514038, 0.04388964921236038, 0.047013454139232635, -0.07020686566829681, 0.03644297271966934, 0.02588573470711708, -0.03666127473115921, -0.009339375421404839, 0.005244116298854351, 0.047135353088378906, -0.0035319668240845203, 0.0845499262213707, 0.0509757474064827, -0.10516335070133209, -0.02885589376091957, 0.01977716200053692, 0.01621060259640217, 0.03708008676767349, 0.005296980496495962, 0.07211297005414963, -0.03191946819424629, -0.005644815042614937, 0.05765064060688019, 0.005831895396113396, 0.022618772462010384, -0.01202812884002924, -0.03889286890625954, -0.03438228368759155, 0.0012257928028702736, -0.04567587748169899, 0.02797180414199829, 0.11655808240175247, -0.002879154169932008, -0.06627467274665833, 0.03168636932969093, 0.04993613809347153, 0.06026916205883026, -0.0458078533411026, 0.03304138034582138, -0.01730864681303501, -0.06963758915662766, -0.004163670819252729, 0.0438307486474514, -0.03867213800549507, -0.052096784114837646, -0.020909558981657028, 0.004788139369338751, 0.05575329065322876, 0.034951433539390564, 0.022075677290558815, 0.02975640259683132, 0.0380917452275753, -0.05605684220790863, -0.02662280760705471, 0.019241174682974815, 0.03244206681847572, -0.02458018623292446, -0.017326530069112778, -3.984377407704499e-33, -0.020644458010792732, -0.0666334480047226, -0.07377609610557556, 0.09056360274553299, 0.010146073065698147, -0.009866778738796711, 0.02923496812582016, -0.016564542427659035, 0.04175589233636856, 0.009188094176352024, -0.007092449348419905, -0.03981884568929672, 0.04494282230734825, 0.047765057533979416, -0.025268595665693283, -0.016965854912996292, -0.09486237913370132, -0.06533563882112503, -0.028633277863264084, 0.06219247356057167, -0.03763635829091072, 0.03831259161233902, -0.041165970265865326, 0.01361739169806242, 0.07507359236478806, -0.05279763787984848, -0.1021304801106453, -0.08805422484874725, -0.027311554178595543, 0.04385664686560631, 0.02640441432595253, 0.0046628061681985855, -0.015330781228840351, 0.055295512080192566, -0.00012268197315279394, -0.0742965042591095, 0.028596293181180954, -0.004222506657242775, 0.05445839464664459, 0.09166163206100464, 0.12639358639717102, -0.015497865155339241, 0.026408245787024498, -0.032316990196704865, -0.06647048890590668, 0.0014958222163841128, -0.0916738286614418, 0.0584501288831234, -0.015530072152614594, -0.09301285445690155, -0.008286125026643276, -0.04613947123289108, 0.07804115861654282, -0.10491543263196945, 0.028565993532538414, -0.03841504082083702, 0.033525437116622925, -0.05316317826509476, 0.04168136417865753, -0.005760643631219864, -0.03407260403037071, 0.06058139353990555, 0.0677592009305954, 0.013440148904919624, -0.016469571739435196, -0.10116668790578842, -0.07679274678230286, 0.00428939051926136, -0.07328249514102936, -0.11582887172698975, -0.014070781879127026, 0.030063172802329063, 0.028146423399448395, -0.013914435170590878, -0.08667111396789551, -0.008713582530617714, -0.05724727362394333, 0.047038231045007706, 0.00022584378893952817, 0.038283899426460266, 0.08990350365638733, 0.03783721476793289, -0.012417015619575977, 0.017969995737075806, -0.042789753526449203, 0.06538965553045273, -0.010563072748482227, -0.013317784294486046, -0.01083146408200264, -0.05690065398812294, -0.09919561445713043, 0.09484690427780151, 0.026916472241282463, 0.07388961315155029, -0.08167409896850586, -4.5462080322522525e-08, -0.04695940390229225, -0.037360236048698425, -0.01704750955104828, -0.005891681183129549, 0.013539768755435944, 0.06856059283018112, -0.02621450461447239, -0.009083645418286324, -0.005612816195935011, 0.07673819363117218, -0.01883424073457718, 0.0321122407913208, -0.0617842897772789, -0.007710447534918785, 0.03584884852170944, -0.029838668182492256, 0.03709210082888603, 0.05474083125591278, 0.01796191744506359, -0.05557752773165703, 0.0701383724808693, 0.04585365578532219, -0.027652131393551826, 0.031527500599622726, -0.0022823764011263847, -5.447835792438127e-05, 0.024293404072523117, 0.020824529230594635, 0.048434801399707794, -0.0472756065428257, -0.008935441263020039, -0.0288122296333313, 0.026068948209285736, -0.05931701511144638, 0.07445605844259262, 0.037820104509592056, 0.033654019236564636, -0.027261365205049515, 0.0066452245227992535, 0.04524354264140129, -0.009570522233843803, 0.027026351541280746, 0.05446280911564827, -0.025079378858208656, -0.008477341383695602, 0.020806243643164635, -0.02770029567182064, -0.012848312966525555, -0.01299925334751606, -0.06882432103157043, -0.0662895143032074, -0.047662653028964996, -0.06236565113067627, 0.0011164803290739655, 0.07417003065347672, 0.10930553078651428, -0.02782261185348034, -0.1064467579126358, -0.010606987401843071, -0.0047720130532979965, 0.013951333239674568, -0.0022305112797766924, 0.015558567829430103, 0.053536053746938705]",1
